,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
150,Weber State,Big Sky,,23,12,70.7,64.7,6.06,,-4.64,,1.86,-1.87,0,55.84,50.47,5.37
151,Montana,Big Sky,,20,11,69.1,62.8,6.23,,-4.89,,-0.52,0.46,-0.05,60.3,54.35,5.95
152,Milwaukee,Horizon,,19,13,66.6,65.7,0.88,,-0.94,,-0.28,0.21,-0.07,59.01,53.88,5.13
153,Bucknell,Patriot,,25,8,66.1,59.9,6.12,,-6.36,,0.39,-0.63,-0.24,61.15,56.36,4.79
154,Akron,MAC,,19,14,71.3,69.2,2.09,,-0.46,,5.98,-6.35,-0.37,60.37,55.43,4.94
155,Oral Roberts,Summit,,14,16,58.8,61.2,-2.47,,3.08,,-6.32,5.9,-0.42,49.41,44.75,4.66
156,Mercer,Southern,,24,9,64.5,56.3,8.24,,-6.25,,-3.69,3.25,-0.44,55.19,48.36,6.83
157,Delaware,CAA,,16,15,58.3,58.4,-0.06,,-0.44,,-5.31,4.8,-0.51,55.88,50.67,5.21
158,Loyola (IL),MVC,,14,16,65.1,67.6,-2.5,,1.97,,1.81,-2.35,-0.53,56.54,51.45,5.09
159,Abilene Christian,Southland,,26,4,75.1,61.4,13.73,,-10.01,,2.66,-3.2,-0.55,53.88,47.42,6.46
160,Louisiana Tech,CUSA,,14,16,67.4,65.8,1.67,,-1.04,,2.63,-3.19,-0.56,56.9,51.39,5.51
161,Long Beach State,Big West,,24,9,63,60.1,2.85,,-3.43,,-3.12,2.53,-0.58,54.91,50.45,4.46
162,Harvard,Ivy,,14,14,65.8,67.2,-1.43,,0.65,,3.72,-4.5,-0.78,64.5,59.8,4.69
163,North Dakota,Big Sky,,19,14,64,65.5,-1.52,,0.68,,-2.9,2.07,-0.84,58.21,53.73,4.47
164,Northeastern,CAA,,15,16,61.2,62.6,-1.39,,0.49,,-0.64,-0.26,-0.9,61.72,57.51,4.21
165,Louisiana,Sun Belt,,25,10,63.7,56.8,6.91,,-5.19,,-3.55,2.64,-0.92,54.63,48.12,6.51
166,Utah Valley,WAC,,16,15,65.9,62.2,3.74,,-3.64,,-1.08,0.02,-1.05,59.21,54.85,4.36
167,Eastern Washington,Big Sky,,20,12,71.8,69.1,2.72,,-3.21,,3.36,-4.53,-1.17,59.99,55.75,4.24
168,San Jose State,MWC,,13,17,72.2,73.3,-1.03,,0.26,,8.19,-9.48,-1.29,60.27,56.83,3.44
169,Rhode Island,A-10,,12,18,60.6,62.4,-1.8,,0.36,,-3.92,2.48,-1.44,57.93,54.35,3.58
170,Wyoming,MWC,,13,16,63.3,61.8,1.48,,-2.02,,-1.88,0.39,-1.49,52.04,48.03,4.02
171,Nevada-Las Vegas,MWC,,18,14,61.2,59.2,2.03,,-3.1,,-3.72,2.1,-1.61,51.88,49.12,2.77
172,George Mason,A-10,,12,19,62.6,68.2,-5.61,,3.91,,1.15,-2.86,-1.71,60.09,56.83,3.26
173,Southern Mississippi,CUSA,,14,16,59,58.9,0.13,,-0.57,,-5.49,3.65,-1.84,51.91,47.65,4.26
174,Marist,MAAC,,16,16,62.3,62.2,0.06,,-1.94,,-1.28,-0.6,-1.88,61.74,59.6,2.15
175,Northern Colorado,Big Sky,,13,16,63.1,62,1.07,,-1.09,,-4.89,3.01,-1.88,56.87,54.5,2.36
176,UC Davis,Big West,,19,13,68.5,65.3,3.13,,-3.37,,0.6,-2.53,-1.92,59.41,56.26,3.15
177,Indiana State,MVC,,13,17,58.3,59.6,-1.3,,-0.63,,-6.37,4.44,-1.93,52.15,49.16,2.98
178,Utah State,MWC,,14,17,67.1,66.4,0.77,,-1.71,,1.38,-3.44,-2.06,56.27,53.78,2.49
179,Youngstown State,Horizon,,21,13,65.3,63.1,2.12,,-2.27,,-2.47,0.32,-2.15,54.92,52.67,2.25
180,Samford,Southern,,20,11,55.5,50.2,5.29,,-5.42,,-12.15,9.97,-2.18,47.28,42.33,4.95
181,UT Arlington,Sun Belt,,15,16,59.3,56.5,2.84,,-2.93,,-8.06,5.86,-2.2,52.17,47.65,4.52
182,Idaho State,Big Sky,,18,15,63.4,62.2,1.21,,-1.82,,-5.95,3.7,-2.24,50.34,47.55,2.79
183,Massachusetts,A-10,,12,18,64.4,66.8,-2.37,,0.07,,1.51,-3.81,-2.3,58.74,56.57,2.17
184,Richmond,A-10,,13,18,55.8,59.6,-3.84,,1.46,,-7.92,5.54,-2.38,54.38,52.31,2.08
185,Stony Brook,AmEast,,17,15,58.5,56.3,2.22,,-4.69,,-5.67,3.2,-2.47,56.8,54.65,2.15
186,Loyola Marymount,WCC,,11,20,69.4,72.5,-3.1,,0.54,,4.74,-7.29,-2.55,58.32,57.1,1.22
187,Troy,Sun Belt,,20,13,80.2,76.4,3.82,,-4.13,,14.2,-16.75,-2.55,57.27,54.08,3.19
188,Lehigh,Patriot,,18,13,66.8,62.4,4.35,,-6.68,,0.82,-3.99,-3.18,57.67,57.32,0.35
189,Cal Poly,Big West,,15,16,63.1,64.2,-1.13,,-2.21,,-3.57,0.23,-3.34,51.81,51.17,0.64
190,Cal State Bakersfield,WAC,,12,19,63.2,66.8,-3.65,,0.17,,-0.22,-3.26,-3.48,58.87,58.13,0.74
191,Stetson,A-Sun,,20,12,66.8,60.7,6.19,,-6.03,,-1.36,-2.33,-3.69,54,52.27,1.73
192,North Texas,CUSA,,11,19,61.3,65.1,-3.8,,-0.15,,-3.37,-0.58,-3.95,55.06,54.47,0.59
193,Liberty,Big South,,20,13,60.8,59,1.82,,-5.53,,-5.71,1.69,-4.03,53.57,51.5,2.08
194,Omaha,Summit,,15,15,63.7,63.4,0.3,,-1.92,,-2.98,-1.12,-4.1,53.35,53.46,-0.11
195,William & Mary,CAA,,15,15,62.1,62.4,-0.37,,-3.91,,-2.14,-2.14,-4.28,57.26,57.22,0.05
196,UNC Asheville,Big South,,26,7,68.2,58.5,9.7,,-11.11,,-2.09,-2.21,-4.3,55.88,53.65,2.23
197,UCF,AAC,,7,23,63,73.3,-10.33,,5.98,,1.69,-6.04,-4.36,56.69,55.5,1.2
198,Detroit Mercy,Horizon,,15,15,70.2,74.8,-4.67,,1.32,,5.32,-9.89,-4.57,61.27,62.63,-1.35
199,Florida Atlantic,CUSA,,14,16,67.3,70.5,-3.23,,-0.47,,2.83,-7.4,-4.57,58.13,57.86,0.26
200,Illinois-Chicago,Horizon,,12,18,61.8,63.5,-1.73,,-2.85,,-5.46,0.88,-4.59,52.75,54.05,-1.3
201,Oakland,Horizon,,15,15,75.4,73.2,2.23,,-2.75,,7.56,-12.17,-4.61,56.26,56.75,-0.49
202,Bowling Green,MAC,,10,18,58.8,62.7,-3.93,,-0.71,,-5.68,1.04,-4.64,57.11,58.62,-1.51
203,Cincinnati,AAC,,8,22,57.1,71.7,-14.63,,9.89,,-4.41,-0.33,-4.74,53.93,54.47,-0.54
204,Western Illinois,Summit,,16,16,76.1,75.4,0.69,,-2.5,,9.46,-14.22,-4.77,59.86,60.46,-0.59
205,Central Arkansas,Southland,,28,4,65.1,52.9,12.19,,-12.67,,-8.97,4.12,-4.85,50.03,46.22,3.81
206,Houston,AAC,,6,24,55.7,64.9,-9.23,,4.38,,-6.87,2.01,-4.85,51.78,52.58,-0.8
207,Rice,CUSA,,9,22,59.2,65,-5.84,,0.99,,-5.44,0.59,-4.85,55.36,55.95,-0.59
208,SIU Edwardsville,OVC,,18,13,72.4,73,-0.58,,-4.57,,3.75,-8.9,-5.15,61.48,62.24,-0.76
209,Texas-Rio Grande Valley,WAC,,19,14,62.9,61.6,1.36,,-2.99,,-4.38,-0.88,-5.25,47.64,48.57,-0.93
210,Fairfield,MAAC,,16,15,58.5,58.7,-0.23,,-5.08,,-7.33,2.03,-5.31,56.18,58.56,-2.38
211,UC Santa Barbara,Big West,,12,20,61.7,62.8,-1.09,,-2.73,,-5.67,0.26,-5.41,51.61,53.46,-1.85
212,Brown,Ivy,,15,13,68.3,63.6,4.71,,-5.12,,0.22,-5.69,-5.47,52.97,54.89,-1.92
213,Eastern Kentucky,OVC,,18,12,72.1,68.6,3.57,,-6.03,,1.2,-6.73,-5.53,52.78,53.52,-0.74
214,Manhattan,MAAC,,15,16,61.1,59.8,1.35,,-6.94,,-4.9,-0.69,-5.59,53.14,55.56,-2.42
215,Radford,Big South,,18,13,60.1,53.3,6.77,,-9.4,,-9.5,3.86,-5.64,46.14,46.17,-0.03
216,San Diego State,MWC,,12,19,58.1,62.4,-4.23,,-0.13,,-6.51,0.85,-5.67,45.09,49.82,-4.73
217,College of Charleston,CAA,,11,20,55.5,61.6,-6.1,,0.38,,-7.64,1.93,-5.71,49.92,51.97,-2.05
218,Providence,Big East,,5,24,56.8,70.3,-13.55,,7.7,,-3.44,-2.41,-5.85,53.97,56.82,-2.85
219,Robert Morris,NEC,,20,13,63.8,59.9,3.97,,-7.93,,-7.56,1.7,-5.86,52,53.6,-1.61
220,Cornell,Ivy,,14,14,61.6,64.4,-2.79,,-3.24,,-4.25,-1.78,-6.03,57.78,60.65,-2.87
221,Grand Canyon,WAC,,16,15,61.3,60.2,1.06,,-4,,-5.45,-0.58,-6.03,49.39,51.46,-2.06
222,UTSA,CUSA,,10,19,61.7,63.9,-2.17,,-1.09,,-6.07,-0.25,-6.32,46.16,47.63,-1.47
