,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,MOV,SOS,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,NRtg
90,Delaware,CAA,,24,5,74.5,62.3,12.17,-5.56,-2.9,13.17,7.3,0.38,7.68,73.45,59.68,13.76,9.81
91,Tennessee-Martin,OVC,,22,6,68.8,60.7,8.07,11.71,-0.65,-2.78,3.59,3.83,7.42,77.07,61.28,15.79,9.7
92,Central Michigan,MAC,,18,9,77.7,74.3,3.37,8,3.88,2.26,11.17,-3.92,7.25,86.73,73.35,13.38,10.78
93,Minnesota,Big Ten,,8,13,68.7,78.7,-10,8.55,17.2,2.35,8.06,-0.87,7.2,81.68,68.47,13.21,9.66
94,Idaho State,Big Sky,,22,4,71.8,59.3,12.46,-3.35,-4.19,11.88,1.87,5.27,7.14,65.15,49.98,15.17,9.49
95,Ohio,MAC,,15,10,77.6,73.4,4.16,9.89,2.69,0.6,10.81,-3.97,6.85,79.45,66.89,12.56,9.23
96,Saint Louis,A-10,,14,5,65.6,60.7,4.89,12.85,1.95,-6.03,0.41,6.43,6.85,74.59,61.26,13.33,9.59
97,Pittsburgh,ACC,,5,14,65.4,72.3,-6.84,-1.37,13.33,7.93,5.19,1.31,6.49,74.22,62.39,11.83,8.19
98,San Francisco,WCC,,16,11,71.9,69,2.89,9.26,4.89,-1.65,7.84,-1.49,6.35,70.73,58.82,11.91,8.77
99,California Baptist,WAC,,26,1,77.8,61.9,15.93,0.18,-8.09,5.87,7.92,-2.01,5.91,62.11,50.95,11.16,7.33
100,Dayton,A-10,,14,5,66.7,58.4,8.32,11.49,-2.55,-3.84,1.17,4.6,5.76,75.63,63.93,11.7,6.94
101,Wyoming,MWC,,14,10,61.2,57.8,3.38,15.34,2.32,-6.57,-5.1,10.8,5.69,66.45,54.89,11.55,8.3
102,Illinois,Big Ten,,5,18,59.6,70,-10.48,-10.52,16.02,15.94,0.1,5.44,5.54,68.64,57.16,11.48,6.6
103,San Diego,WCC,,12,7,65.5,59.5,6,4.22,1.54,0.97,-0.83,6.38,5.54,63.35,52.42,10.93,7
104,Wisconsin,Big Ten,,5,19,63.1,75.8,-12.67,14.65,17.93,-9.56,3.24,2.02,5.26,75.37,65.83,9.54,7.99
105,Green Bay,Horizon,,15,7,64.9,59.5,5.41,12.09,-0.21,-4.03,-0.48,5.68,5.2,78.31,66.98,11.33,7.64
106,Massachusetts,A-10,,16,8,71.7,66.1,5.58,14.31,-0.43,-5.86,6.8,-1.64,5.16,78.24,68.21,10.03,7.7
107,Nevada-Las Vegas,MWC,,15,9,70.1,68,2.13,8.47,2.85,-3.49,5.5,-0.52,4.98,69.09,58.91,10.17,6.33
108,Buffalo,MAC,,15,9,73.8,69.2,4.63,-2.81,0.1,7.76,6.2,-1.48,4.72,78.56,68.86,9.71,5.45
109,Pacific,WCC,,11,11,68.2,69.7,-1.55,6.66,6.2,-1.76,5.82,-1.17,4.65,67.33,57.12,10.21,6.12
110,North Dakota State,Summit,,15,9,69.4,66.4,3.04,7.65,1.58,-1.22,2.15,2.48,4.62,72.59,62.22,10.37,6.57
111,Auburn,SEC,,5,19,65.2,72.3,-7.13,13.17,11.71,-4.86,3.52,1.07,4.59,70.76,59.91,10.85,7.67
112,Middle Tennessee,CUSA,,17,8,74,70.3,3.72,1,0.4,4.75,6.91,-2.79,4.12,74.92,64.09,10.83,6.37
113,Charlotte,CUSA,,10,12,75.5,72.9,2.68,-1.16,1.35,5.61,9.69,-5.66,4.03,73,62.4,10.6,5.31
114,Valparaiso,MVC,,12,13,64.3,64.8,-0.52,15.27,4.39,-6.68,1.15,2.72,3.87,70.24,61.9,8.34,5.7
115,Lehigh,Patriot,,10,6,71,67.3,3.69,5.94,0.12,-1.83,7.7,-3.89,3.81,82.07,76.12,5.96,4.59
116,Northern Kentucky,Horizon,,8,11,65,64.3,0.68,-4.27,3.04,8.16,2.07,1.66,3.73,74.42,65.89,8.53,4.51
117,Montana State,Big Sky,,17,7,72,63.4,8.67,5.79,-5.09,-1.9,2.97,0.6,3.58,69.13,59.29,9.84,4.85
118,Santa Clara,WCC,,14,11,65.4,65.4,0,0.13,2.83,3.5,1.27,1.56,2.83,67.33,59.74,7.58,4.56
119,Virginia Commonwealth,A-10,,16,11,63.9,62.4,1.52,3.53,1.08,0.02,-0.19,2.78,2.59,72.56,65.28,7.28,4.2
120,St. John's (NY),Big East,,8,15,63.1,67.8,-4.7,-0.97,7.18,4.13,0.27,2.21,2.48,72.78,67.63,5.16,3.41
121,Eastern Michigan,MAC,,10,10,64.1,62.2,1.85,11.14,0.58,-3.59,-3.07,5.5,2.43,65.19,58.13,7.05,4.01
122,Boise State,MWC,,14,9,69.3,64.5,4.83,6.7,-0.52,0.01,2.36,0.03,2.39,59.09,52.94,6.16,3.14
123,Northern Illinois,MAC,,12,12,73.3,73.5,-0.21,5,2.56,1.63,6.38,-4.02,2.36,77.36,71.09,6.27,3.86
124,Temple,AAC,,11,11,62,66.9,-4.91,3.97,7.03,-0.32,1.08,1.03,2.12,67.95,60.16,7.79,3.06
125,Troy,Sun Belt,,22,6,86,72.6,13.36,4.76,-8.74,-1.95,13.13,-11.06,2.07,63.12,55.88,7.24,3.07
126,North Texas,CUSA,,13,7,69.3,66.3,3.05,6.42,-1.06,-3.4,4.52,-2.53,1.99,68.56,60.27,8.29,4.51
127,Rhode Island,A-10,,11,8,62.8,59.1,3.79,11.47,-1.81,-4.46,-2.86,4.84,1.98,76.48,70.03,6.45,4.22
128,Cincinnati,AAC,,8,16,61.8,66.4,-4.63,12.24,6.54,-7.31,0.76,1.16,1.92,70.63,63.86,6.77,3.03
129,Old Dominion,CUSA,,13,11,71.4,68.7,2.71,-3.91,-0.8,6.61,4.51,-2.6,1.91,71.23,62.87,8.36,3.21
130,Fordham,A-10,,12,6,61.8,57.4,4.39,3.53,-2.56,-1.03,-2.88,4.71,1.83,75.27,67.73,7.54,2.86
131,Idaho,Big Sky,,17,7,72.1,67.9,4.25,7.52,-2.85,-3.78,4.36,-2.96,1.4,68.68,61.76,6.92,3.43
132,East Carolina,AAC,,8,14,60.3,64.4,-4.14,3.65,5.33,-0.61,-1.52,2.72,1.19,66,59.72,6.28,2.63
133,Wichita State,AAC,,6,12,63.4,65.9,-2.5,5.63,3.62,-0.05,1.11,0.01,1.12,70.15,63.95,6.2,1.81
134,Long Beach State,Big West,,12,9,64.2,60.3,3.95,11.78,-2.63,-6.83,-1.54,2.51,0.97,59.81,55.4,4.41,3.36
135,Ball State,MAC,,14,11,73,73.2,-0.2,-11.45,1.15,13.39,5.78,-4.83,0.95,76.08,71.11,4.97,1.6
136,UTEP,CUSA,,17,8,69.7,64.7,5,6.66,-4.16,-3.13,0.11,0.74,0.84,67.5,60.48,7.01,1.91
137,Jacksonville State,OVC,,15,9,64.4,58.5,5.92,4.55,-5.19,-3.16,-3.35,4.08,0.72,66.78,60.02,6.77,1.37
138,Portland,WCC,,14,13,68.4,69.1,-0.7,3.97,2.95,-0.35,3.26,-2.54,0.72,66.78,62.16,4.62,1.78
139,Cleveland State,Horizon,,14,9,64,60.9,3.17,10.72,-1.34,-4.74,-1.53,2.24,0.71,62.87,58.84,4.03,1.97
140,Loyola (IL),MVC,,12,15,58.3,59,-0.7,4.56,2.1,-2.06,-7.83,8.47,0.64,62.98,59.28,3.71,-0.69
141,Louisiana Tech,CUSA,,14,10,64.6,60.1,4.46,1.94,-3.88,-1.39,-2.18,2.76,0.58,63.63,57.61,6.02,0.54
142,James Madison,CAA,,14,10,70,68.7,1.29,6.3,-1.06,-4.76,4.27,-4.03,0.24,74.58,69.9,4.69,0.51
143,Tennessee Tech,OVC,,15,10,67.2,62.2,4.96,8.74,-4.84,-7.4,0.58,-0.45,0.12,74.43,68.57,5.86,-0.13
144,California,Pac-12,,1,16,49.8,69.4,-19.65,-2.72,19.65,3.16,-4.74,4.74,0.01,62.21,59.84,2.37,0.24
145,Nevada,MWC,,13,9,63.7,63.7,0,0.94,0.2,1.83,-4.3,4.25,-0.05,54.77,51.04,3.73,0.07
146,Drexel,CAA,,14,9,61.2,57.7,3.43,1.88,-3.51,-0.05,-6.66,6.58,-0.08,70.98,66.64,4.34,0.34
147,Maine,AmEast,,17,3,66.2,52.7,13.5,0.35,-13.58,1.06,-1.07,0.99,-0.08,75.58,72.25,3.33,0.03
148,Southern Illinois,MVC,,9,16,60.2,64.5,-4.32,9.83,3.99,-7.1,-3.31,2.98,-0.33,71.93,69.61,2.32,-0.14
149,Southeast Missouri State,OVC,,15,11,65.3,61.3,4,1.84,-3.59,-1.43,-1.98,1.31,-0.67,64.96,61.31,3.66,-0.03
150,Marshall,CUSA,,8,11,60.1,62.3,-2.21,1.55,1.42,-1.48,-6.99,6.2,-0.79,60.8,56.52,4.28,-0.28
151,Vanderbilt,SEC,,4,4,74.3,78.3,-4,-12,3.21,12.04,10.77,-11.55,-0.79,71.6,67.21,4.39,0.42
152,Youngstown State,Horizon,,10,8,66.6,63.5,3.11,5,-3.9,-3.46,-0.26,-0.53,-0.79,75.72,73.4,2.32,0.03
153,Boston University,Patriot,,12,3,65.6,54.1,11.47,8.85,-12.31,-8.26,-4.59,3.76,-0.84,77.29,76.05,1.24,-0.45
154,Liberty,A-Sun,,19,8,72.4,63.5,8.96,-2.06,-9.26,1.69,0.44,-1.34,-0.9,64.49,59.73,4.76,-0.84
155,Toledo,MAC,,12,12,69.3,70.5,-1.21,2.56,0.19,-2.02,1.07,-2.09,-1.02,73.89,71.57,2.32,-1.16
156,Kent State,MAC,,11,9,68.4,71.5,-3.1,8.71,2.03,-5.17,0.93,-2,-1.07,74.79,72.88,1.91,-0.74
157,Providence,Big East,,7,14,57.3,63.8,-6.48,4.27,5.32,-3.38,-7.12,5.96,-1.15,66.55,65.66,0.89,-0.84
158,Richmond,A-10,,13,9,63.3,61.5,1.82,2.18,-3.01,-1.21,-1.18,-0.01,-1.19,69.09,67.72,1.37,-0.86
159,Tulsa,AAC,,5,14,56.2,64.9,-8.74,5.58,7.28,-4.37,-4.23,2.77,-1.46,64.17,62.09,2.07,-0.43
160,Louisiana,Sun Belt,,16,8,62.3,58,4.25,17,-5.87,-15.6,-4.43,2.81,-1.62,64.71,59.78,4.93,0.71
161,Mercer,Southern,,19,7,68.3,60,8.38,13.73,-8.26,-11.9,0.37,-2.04,-1.66,64.88,61.42,3.46,-1.6
162,Towson,CAA,,13,9,79.5,74.4,5.05,0.28,-4.62,0.09,10.1,-11.81,-1.71,71.88,71.12,0.76,-1.47
163,Murray State,OVC,,16,11,69.8,67.6,2.19,0.67,-3.94,-0.46,3.28,-5.03,-1.75,72.02,69.32,2.7,-1.59
164,Georgetown,Big East,,2,15,50.4,62.8,-12.47,-0.58,10.62,-0.26,-12.37,10.52,-1.85,60.43,61.79,-1.36,-1.7
165,Jackson State,SWAC,,18,6,68,60.5,7.46,0.56,-9.35,0.45,-2.2,0.31,-1.89,65.88,61.29,4.6,-1.89
166,Cal Poly,Big West,,13,11,61.7,63.2,-1.5,7.91,-0.47,-3.96,-3.24,1.27,-1.97,61.57,59.79,1.78,-0.97
167,Elon,CAA,,7,8,63.1,63.3,-0.2,1.39,-1.8,0.83,-2.57,0.57,-2,64.74,63.7,1.05,-2.26
168,Austin Peay,OVC,,12,11,63.9,60.6,3.3,5.42,-4.91,-2.3,-5.02,2.93,-2.09,60.57,58.82,1.75,-2.71
169,Stony Brook,AmEast,,15,6,59.5,52,7.48,6.18,-9.56,-7.68,-7.01,4.93,-2.09,69.88,69.13,0.75,-2.96
170,Grand Canyon,WAC,,18,7,73.8,64.2,9.64,0,-8.98,-1.52,0.89,-3.05,-2.16,55.48,52.87,2.61,-2.43
171,UC Irvine,Big West,,15,9,66.2,65,1.25,4.09,-3.03,-3.82,-0.85,-1.44,-2.29,57.92,57.38,0.54,-3
172,Samford,Southern,,14,11,68.2,63.2,5.08,3.3,-3.52,-5,-0.77,-1.58,-2.35,62.92,61.34,1.59,-3.08
173,Florida Atlantic,CUSA,,11,11,72.6,71.4,1.23,4.55,-2.3,-3.56,1.73,-4.22,-2.49,60.27,58.34,1.93,-2.79
174,North Carolina A&T,MEAC,,14,3,72,54.4,17.65,1.69,-17.12,-3.49,-1.84,-0.66,-2.49,60.65,59.15,1.5,-3.29
175,Loyola Marymount,WCC,,7,19,61.1,68.2,-7.12,7.3,4.59,-6.26,-2.6,0.08,-2.53,62.5,62.33,0.17,-2.53
176,Marist,MAAC,,18,4,62.6,51.1,11.55,-9.28,-14.25,7.43,-7.72,5.01,-2.71,69.59,68.82,0.78,-3.11
177,Hawaii,Big West,,9,8,63.5,64.1,-0.53,4.25,-1.66,-1.64,-2.03,-0.83,-2.86,54.04,54.6,-0.56,-2.32
178,Sam Houston,Southland,,15,8,75.8,68.6,7.17,-8.2,-6.45,6.2,4.41,-7.31,-2.9,53.59,51.95,1.65,-3.47
179,Saint Mary's,WCC,,7,19,62.8,71.5,-8.73,8.37,5.61,-8.89,-0.17,-2.94,-3.12,64.2,65.12,-0.92,-3.32
180,George Washington,A-10,,9,14,56.1,56,0.09,1.13,-2.57,1.09,-9.71,6.55,-3.16,60.73,60.91,-0.18,-4.02
181,Northern Arizona,Big Sky,,15,14,71.2,70.1,1.07,0.32,-4.42,-0.01,2.18,-5.53,-3.35,66.69,65.62,1.07,-4.14
182,Oakland,Horizon,,12,12,69.5,73.3,-3.88,-1.67,0.47,-1.3,5.47,-8.87,-3.41,73.98,74.83,-0.85,-4.01
183,San Jose State,MWC,,2,2,65.5,67,-1.5,6.34,-1.94,-7.8,-1.87,-1.56,-3.44,56.42,57.86,-1.44,-4.38
184,Western Michigan,MAC,,6,15,65.3,70.7,-5.38,-3.13,1.72,2.42,-2.3,-1.36,-3.66,67.54,69.14,-1.6,-4.9
185,Saint Joseph's,A-10,,7,10,60.8,62.4,-1.59,-1.38,-1.63,-1.88,-4.79,0.97,-3.81,63.21,65.81,-2.59,-4.62
186,Northern Colorado,Big Sky,,14,12,64.8,63.8,0.96,-12.9,-4.79,9.56,-4.68,0.85,-3.83,62.42,61.98,0.44,-4.88
187,Western Kentucky,CUSA,,7,16,63.9,68.8,-4.96,8.2,1.07,-8.78,-2.85,-1.04,-3.89,60.55,60.57,-0.02,-4.79
188,Air Force,MWC,,8,18,60.1,65,-4.85,-4.47,2.18,1.06,-6.89,2.98,-3.91,51.1,53.41,-2.31,-5.41
189,Omaha,Summit,,7,13,61.9,68.7,-6.8,3.23,2.74,-0.35,-4.21,0.15,-4.07,64.94,67.04,-2.1,-5.13
190,Eastern Illinois,OVC,,11,15,64.8,66.8,-1.92,5.53,-2.45,-5.58,-1.71,-2.67,-4.37,69.72,71.33,-1.61,-5.57
